rank,id,marketplaceAddress,transactionHash,buyer,buyerDisplay,seller,sellerDisplay,price,priceUSD,imageURI,tokens/0/tokenId,tokens/0/address,tokens/0/attributes/Season,tokens/0/attributes/Name,tokens/0/attributes/Gender,tokens/0/attributes/Image,tokens/0/attributes/Hair,tokens/0/attributes/Beard,tokens/0/attributes/Lips,tokens/0/attributes/Mouth,tokens/0/attributes/Eyes,tokens/0/attributes/Neck,tokens/0/attributes/Face,tokens/0/attributes/Nose,tokens/0/attributes/Cheeks,tokens/0/attributes/Ears,tokens/0/attributes/Teeth,tokens/0/attributes/Emotion,tokens/0/attributes/MasterMint#,tokens/0/name,tokens/0/value,tokens/0/multiTokenId,timeStamp,paymentToken,marketplaceIcon,marketplaceName,tokens/0/attributes/Type,tokens/0/attributes/Accessories,tokens/0/attributes/Hats/Hair,tokens/0/attributes/name,tokens/0/attributes/image,tokens/0/attributes/background,tokens/0/attributes/body,tokens/0/attributes/Feathers,tokens/0/attributes/x_debug[0],tokens/0/attributes/eyes,tokens/0/attributes/Beak,tokens/0/attributes/Headwear,tokens/0/attributes/Background,tokens/0/attributes/clothes,tokens/0/attributes/mouth,tokens/0/attributes/Fur,tokens/0/attributes/Earring,tokens/0/attributes/Hat,tokens/0/attributes/dna,tokens/0/attributes/Eye Color,tokens/0/attributes/Back,tokens/0/attributes/Clothing,tokens/0/attributes/Symbolscheme,tokens/0/attributes/Special,tokens/0/attributes/Ear,tokens/0/attributes/Offhand,tokens/0/attributes/Project,tokens/0/attributes/Feature1,tokens/0/attributes/Feature2,tokens/0/attributes/Feature3,tokens/0/attributes/Feature4,tokens/0/attributes/Feature5,tokens/0/attributes/Feature6,tokens/0/attributes/Feature7,tokens/0/attributes/Feature8,tokens/0/attributes/Feature9,tokens/0/attributes/Feature10,tokens/0/attributes/Trait1,tokens/0/attributes/Trait2,tokens/0/attributes/Trait3,tokens/0/attributes/Trait4,tokens/0/attributes/Trait5,tokens/0/attributes/Trait6,tokens/0/attributes/Trait7,tokens/0/attributes/Trait8,tokens/0/attributes/Trait9,tokens/0/attributes/CurationStatus,tokens/0/attributes/Series,tokens/0/attributes/Class,tokens/0/attributes/Species,tokens/0/attributes/Talent,tokens/0/attributes/Feet,tokens/0/attributes/Left Arm,tokens/0/attributes/Legs,tokens/0/attributes/Right Arm,tokens/0/attributes/Sleeves,tokens/0/attributes/Upper Body,tokens/0/attributes/Headgear,tokens/0/attributes/face,tokens/0/attributes/head,tokens/0/attributes/Description,tokens/0/attributes/Clothes,tokens/0/attributes/Accessory,tokens/0/attributes/AttributesCount
24,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x8b7649e92b57e1fc17a411b6e679c8a54d6932e737244bdbf9994f35a132ee7e,0x19fDF9e73B5681766de900d20dca4b6b43246B7c,0x19fDF9e73B5681766de900d20dca4b6b43246B7c,0x9E7e99D56F8CAdB8fDe5956bc1C9B9ab1550eD2F,0x9E7e99D56F8CAdB8fDe5956bc1C9B9ab1550eD2F,205,612418.5,https://live---metadata-5covpqijaa-uc.a.run.app/images/7789,7789,,,,,,,,,,,,,,,,,,,,,,2022-04-22T00:44:23,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#7789,https://live---metadata-5covpqijaa-uc.a.run.app/images/7789,Blue,golden,Legendary Sage,orig:5579,Open,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,0x7f268357a8c2552623316e2562d90e642bb538e5,0xdb469795e5e083f24b3e8b543963fc838b9dbdc0623b6d5a25dc6a9462ed8475,0x35B2141233fD4cddCC5dD6130122aD7F099eceBe,0x35B2141233fD4cddCC5dD6130122aD7F099eceBe,0x59265c2f1e8cFc6ce4d918dA3Df3F160D75568ea,0x59265c2f1e8cFc6ce4d918dA3Df3F160D75568ea,200.690002441406,604854.1875,https://ipfs.cryptoslam.io/ipfs/QmSsspA4tFKHjK2XsgMW9E6kp7MEwd9aosbPFpbrSS2MN8,8537,,,,,,,,,,Bored,,,,,,,,,,,,2022-04-12T23:09:38,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmSsspA4tFKHjK2XsgMW9E6kp7MEwd9aosbPFpbrSS2MN8,,,,,,,,Army Green,Black Holes T,Phoneme Vuh,Black,,Bayc Hat Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,62417b555b8421ed6973a568,0x7f268357a8c2552623316e2562d90e642bb538e5,0x4a68fb8b79c6ad7edbf72ea1314efa6b34a3a465d95cddfc797ab6dd13d297f7,0x0365c1433cfd6da1cd47eb77878227afcea192cf,0x0365c1433cfd6da1cd47eb77878227afcea192cf,0xedad6b7434acd68ed2814ef961d2164029adb316,0xedad6b7434acd68ed2814ef961d2164029adb316,179,594582.5041543666,https://d35vxokfjoq7rk.cloudfront.net/0xd4e4078ca3495de5b1d4db434bebc5a986197782/403.png?d=66,403,0xd4e4078ca3495de5b1d4db434bebc5a986197782,All,Autoglyph:403,,,,,,,,,,,,,,,403,,,,2022-03-28T09:09:02Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,,,,,,,,,,,,,,,,,,,Symbol Scheme 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,0x187e8e5c70457c756a5779aeb2227ef098bca776,0x564dc1706e505f88f8180c32fc46a470d60d4fdbfd148616cdb117d7f517b9b1,0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,0xe9de1Ef7257DD2640B8c209c073c5F293E0201E8,0xe9de1Ef7257DD2640B8c209c073c5F293E0201E8,190,593165.75,https://ipfs.cryptoslam.io/ipfs/QmYDB3RNVfSZcnqR9fgTB2JPXFL2cvRHFsfYsxkHv5AeQZ,5310,,,,,,,,,,Bloodshot,,,,,,,,,,,,2022-03-26T18:35:45,WETH,,,,,,,https://ipfs.cryptoslam.io/ipfs/QmYDB3RNVfSZcnqR9fgTB2JPXFL2cvRHFsfYsxkHv5AeQZ,,,,,,,,Purple,Space Suit,Bored Unshaven,Dark Brown,,Bayc Hat Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x6f3683363793ec50d2630dadc00d66cc09347b63a961fc42947369c835759233,0x79d4D03FCDBb9B9152F3f8E6fFf2a8052fedFb83,0x79d4D03FCDBb9B9152F3f8E6fFf2a8052fedFb83,0x08632358D3F5781CB2BAe28Da286Aaf4CCacaAa0,0x08632358D3F5781CB2BAe28Da286Aaf4CCacaAa0,199,588812.0625,https://live---metadata-5covpqijaa-uc.a.run.app/images/8154,8154,,,,,,,,,,,,,,,,,,,,,,2022-04-23T17:40:51,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#8154,https://live---metadata-5covpqijaa-uc.a.run.app/images/8154,Yellow,skeleton,Bone,orig:5724,Angry,Short,Chromie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,0x7304e20698f3f20405990916e784b83a4c93303f,0xa50d07745b0c20bb46337475224f2bb42e4fdfa47ac9c7d5f42e5bd8e74db0d8,0x7304E20698F3F20405990916E784b83A4c93303F,0x7304E20698F3F20405990916E784b83A4c93303F,0x9D567987D4D7895d0940765b2b6C97a0Fa4b59bE,0x9D567987D4D7895d0940765b2b6C97a0Fa4b59bE,195.300003051758,579213.5,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/9759.png,9759,,,,,,Spirit Goddess,,,closed,,,,,,,,,,,,,2022-04-11T22:15:05,WETH,,,Spirit,,,Azuki #9759,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/9759.png,,,,,Striking,,,Off White D,,,,,,,,,Turquoise Kimono with Bow,,Water,frog,Shinai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x63a75ad0923fe79ccfef4abff4ea1a65c792664645e95e0fb98d35ef6ed82360,0x2c2ed4b3876c442fee80BeE76Ce0eE2CA2A512AF,0x2c2ed4b3876c442fee80BeE76Ce0eE2CA2A512AF,0xf3462aD6856678f434B0E6f6f7008d9F2F725B40,0xf3462aD6856678f434B0E6f6f7008d9F2F725B40,165.005004882812,578645.25,https://ipfs.cryptoslam.io/ipfs/QmXE3ECZix8AaUZe4dNB49kGhMMtrxBbZ1zMTYrS3e3mes,24152,,,,,,,,,,M1 Blue Beams,,,,,,,,,,,,2022-04-04T22:21:03,ETH,,,,,,,https://ipfs.cryptoslam.io/ipfs/QmXE3ECZix8AaUZe4dNB49kGhMMtrxBbZ1zMTYrS3e3mes,,,,,,,,M1 Purple,M1 Blue Dress,M1 Bored,M1 Cheetah,M1 Silver Hoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0xc310e760778ecbca4c65b6c559874757a4c4ece0,0x63a75ad0923fe79ccfef4abff4ea1a65c792664645e95e0fb98d35ef6ed82360,0xf3462aD6856678f434B0E6f6f7008d9F2F725B40,0xf3462aD6856678f434B0E6f6f7008d9F2F725B40,0xC310e760778ECBca4C65B6C559874757A4c4Ece0,0xC310e760778ECBca4C65B6C559874757A4c4Ece0,165.005004882812,577810.875,https://ipfs.cryptoslam.io/ipfs/QmcqTF9BXCYQBnJAvtFTJYy1crLCKko1N6Ckcc1cpaysZb,1459,,,,,,,,,,Zombie,,,,,,,,,,,,2022-04-04T22:21:03,ETH,,,,,,,https://ipfs.cryptoslam.io/ipfs/QmcqTF9BXCYQBnJAvtFTJYy1crLCKko1N6Ckcc1cpaysZb,,,,,,,,Yellow,Prison Jumpsuit,Bored Unshaven Pizza,Black,Silver Hoop,Horns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,62464b7e5b842162bf79eb37,0x7f268357a8c2552623316e2562d90e642bb538e5,0x636dbedb77a8cf055c30f1a2d3ca2e78e46b4eeb72a10dc5a989e9b5bb451558,0xd6406c9838e1423d14a6dfc1bfd6a1c307608da3,0xd6406c9838e1423d14a6dfc1bfd6a1c307608da3,0x55a0730a844727bd694fd8f938a456158be0f8a6,0x55a0730a844727bd694fd8f938a456158be0f8a6,175,577377.215654988,https://d35vxokfjoq7rk.cloudfront.net/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/13000226.png?d=66,13000226,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,Curated,Ringers #226,,,,,,,,,,,,,,,,,,,2022-04-01T00:46:07Z,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,,,,,,,,,,,,,,,,,,,,,,,Ringers,Background: Black,Size: Normal,Wrap orientation: Balanced,Wrap style: Loop,Peg layout: 4x4 grid,Peg scaling: Uniform,Body: White,Peg style: Solid,Extra color: N/A,Peg count: 11,Ringers,Background: Black,Size: Normal,Wrap orientation: Balanced,Wrap style: Loop,Peg layout: 4x4 grid,Body: White,Peg style: Solid,Extra color: N/A,Curated,Series 2,,,,,,,,,,,,,,,,
33,,0x13d8faf4a690f5ae52e2d2c52938d1167057b9af,0x5e708e25dbef17243143ace53efc6e67e2ba5feedfb1a830d21f6d66250a5bc5,0xEB7Da1CCbB0D6932B58A28B3849DBfBF5807814a,0xEB7Da1CCbB0D6932B58A28B3849DBfBF5807814a,0x13d8faF4A690f5AE52E2D2C52938d1167057B9af,0x13d8faF4A690f5AE52E2D2C52938d1167057B9af,175.005004882812,568920.1875,https://ipfs.cryptoslam.io/ipfs/Qma2Nbygo2WPSxLJugQGrAy9CSB1WuySt6f7YYDNZKGAmm,5911,,,,,,,,,,Eyepatch,,,,,,,,,,,,2022-04-10T07:11:53,ETH,,,,,,,https://ipfs.cryptoslam.io/ipfs/Qma2Nbygo2WPSxLJugQGrAy9CSB1WuySt6f7YYDNZKGAmm,,,,,,,,Orange,Black T,Small Grin,Gray,,Trippy Captain's Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,62413ea15b8421f739603825,0x7f268357a8c2552623316e2562d90e642bb538e5,0xe8d0c7178a748370f33e3ee9ee43231e63345added53013d129671a7a1959730,0x6403d0e123c9e0f73265ab3f3dfd4c8ba3599f85,0x6403d0e123c9e0f73265ab3f3dfd4c8ba3599f85,0xe10824fd1ffb9951215025eb26cda42d2d8d9c4c,0xe10824fd1ffb9951215025eb26cda42d2d8d9c4c,172,568740.9329958154,https://d35vxokfjoq7rk.cloudfront.net/0xd4e4078ca3495de5b1d4db434bebc5a986197782/409.png?d=66,409,0xd4e4078ca3495de5b1d4db434bebc5a986197782,All,Autoglyph:409,,,,,,,,,,,,,,,409,,,,2022-03-28T04:49:52Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,,,,,,,,,,,,,,,,,,,Symbol Scheme 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6243c8b45b8421b6553de5f3,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5f5eccbc0edc20f80f8f1f06ce966a5e60dfcde0e3dac1fdc94ce8f1efd1bb1b,0xff70ec37a5d631f587df503efe862a6b9a274305,0xff70ec37a5d631f587df503efe862a6b9a274305,0x783ca9833d58a6b39ee72db81f07571d72c0064e,0x783ca9833d58a6b39ee72db81f07571d72c0064e,168,566831.0340333749,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/2717.png?d=66,2717,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 2717,Female,https://www.larvalabs.com/public/images/cryptopunks/punk2717.png,Pilot Helmet,,Purple Lipstick,,,,,,,,,,2715,,,,2022-03-30T03:03:43Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6263a7035b842119d6123eb4,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5106cddfa03585e64d453ed8adc46f77f7a0ade729e22d318714b2d128d49bcf,0xc9de4bcf2d3c44101d7004dcf138c935a264897a,0xc9de4bcf2d3c44101d7004dcf138c935a264897a,0x5ab5844dd55ab73212d1527e4cf72fea884e39dd,0x5ab5844dd55ab73212d1527e4cf72fea884e39dd,190,561397.0124070933,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9235.png?d=66,9235,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 9235,Male,https://www.larvalabs.com/public/images/cryptopunks/punk9235.png,Hoodie,Normal Beard Black,,Cigarette,,,,Clown Nose,,,,,9233,,,,2022-04-23T07:12:20Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x5f725c191eef24a387b92722c6296c6bb2408f9a186b7d3377abda13a99747a0,0x2511d32E59C22A422b0809aB6F9Cc4910edf4e4f,0x2511d32E59C22A422b0809aB6F9Cc4910edf4e4f,0x3977E70674d05ab68c0A07B5A821890069B20B0c,0x3977E70674d05ab68c0A07B5A821890069B20B0c,161.25,557958.5,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/4363.png,4363,,,,,,Spirit Ponytail,,,closed,,,,,,,,,,,,,2022-04-02T16:10:17,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,Spirit,,,Azuki #4363,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/4363.png,,,,,Joyful,,,Red,,,,,,,,,Black Hoodie,,,,Talisman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x32c4e83563ca5d62a9d0e34018a56faf79a036a8e74de91516697b11493aa301,0x5683De046501F46D3D7F63FD56fb19A844C5d1a0,0x5683De046501F46D3D7F63FD56fb19A844C5d1a0,0xe9ba8eC4EC67419D26520Aa16F937B2C7F030205,0xe9ba8eC4EC67419D26520Aa16F937B2C7F030205,159,553596.5625,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/7175.png,7175,,,,,,Spirit Goddess,,,Grin,,Zen Headphones,Black Glasses,,,,,,,,,,2022-04-02T07:20:53,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,Spirit,,,Azuki #7175,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/7175.png,,,,,Daydreaming,,,Dark Blue,,,,,,,,,Lavender Kimono with Bow,,,Small Hoop,Hand Wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,62630df05b842106bd2f398b,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xd5fb6e022d29861a126087f645b753c56ebb4bc159ccf61fcf5cc2036893b2c5,0x355fae219e359cfaa0f02e118fa819f1f94949ca,0x355fae219e359cfaa0f02e118fa819f1f94949ca,0x6772e9393dcecfafac4fca9ef66afa7f2ee4c8d3,0x6772e9393dcecfafac4fca9ef66afa7f2ee4c8d3,185.69,549891.264096146,https://d35vxokfjoq7rk.cloudfront.net/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/5974.png?d=66,5974,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,All,CryptoPunk 5974,Male,https://www.larvalabs.com/public/images/cryptopunks/punk5974.png,Cowboy Hat,,,,VR,,,,,,,,5972,,,,2022-04-22T20:18:16Z,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/cryptopunks-logo.png,CryptoPunks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0xc5e6e49121d9843c1575f66dd5ec30436d5d32fe9c28458786b5f0f31a50be42,0x8f2b9e18f15EcCD7eb11f4c89933259c49074019,0x8f2b9e18f15EcCD7eb11f4c89933259c49074019,0x5122c3b4de32D93Efae914382c08d02Fb8348353,0x5122c3b4de32D93Efae914382c08d02Fb8348353,157.278900146484,549516.375,https://ipfs.cryptoslam.io/ipfs/QmaUPw8fE9YYD2XaPfhdXmmS3TDUK7cZMPBuYsCSbwqpgp,3738,,,,,,,,,,Angry,,,,,,,,,,,,2022-04-04T09:18:51,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/looksrare.png,LooksRare,,,,,https://ipfs.cryptoslam.io/ipfs/QmaUPw8fE9YYD2XaPfhdXmmS3TDUK7cZMPBuYsCSbwqpgp,,,,,,,,Orange,Stunt Jacket,Grin Diamond Grill,Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,0x7f268357a8c2552623316e2562d90e642bb538e5,0xd74f24be90622b1cac65c345ef00b5df821f771ac86612e95d0e73a5ffd90c7c,0x4B0c7B3bC78F463e3E6F6681A5d4cC1c3f5AE8Ff,0x4B0c7B3bC78F463e3E6F6681A5d4cC1c3f5AE8Ff,0x5BE8f739C8Ea94D99b44ab0B1421889c8b99b2E1,0x5BE8f739C8Ea94D99b44ab0B1421889c8b99b2E1,175,547147.3125,https://live---metadata-5covpqijaa-uc.a.run.app/images/8249,8249,,,,,,,,,,,,,,,,,,,,,,2022-04-21T10:46:31,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#8249,https://live---metadata-5covpqijaa-uc.a.run.app/images/8249,Purple,golden,Legendary Professor,orig:8042,Discerning,Short,Halo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x6046b08e308c68a8d72a28d1e6d473880b82fb48145a70ff29ebbaa8b9c066d5,0x7b3aFc18936f9d0410002CDc9c4F28d772ca41AF,0x7b3aFc18936f9d0410002CDc9c4F28d772ca41AF,0xDBEc5F351c3E2B9D49F75D530393D2899897b75a,0xDBEc5F351c3E2B9D49F75D530393D2899897b75a,157.574996948242,544142.1875,https://ipfs.cryptoslam.io/ipfs/QmZULHGMxeHzXQs3naJBazx4eTRZyozFhbSmB9PQfd1xrU,8005,,,,,,,,,,Coins,,,,,,,,,,,,2022-04-01T22:13:53,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/looksrare.png,LooksRare,,,,,https://ipfs.cryptoslam.io/ipfs/QmZULHGMxeHzXQs3naJBazx4eTRZyozFhbSmB9PQfd1xrU,,,,,,,,Aquamarine,Leather Jacket,Grin Diamond Grill,Gray,Silver Stud,Trippy Captain's Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0x9cd48b2e8f90977ae652d8582c93371d9163dbf007701c623cde422dfdba0866,0x39fEc2e2beaB6a63c1E763D0dc4120AF60BEe39F,0x39fEc2e2beaB6a63c1E763D0dc4120AF60BEe39F,0xdAe0a0ec7A34393FC694cBC8Ab6080FF32D7FA5a,0xdAe0a0ec7A34393FC694cBC8Ab6080FF32D7FA5a,167.125,538222.75,https://ipfs.cryptoslam.io/ipfs/QmVLdeXjCSLL5P1QykWdzdLXDBKWMwWVA45kKgb969mtf1,4895,,,,,,,,,,Bored,,,,,,,,,,,,2022-04-07T22:12:20,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/looksrare.png,LooksRare,,,,,https://ipfs.cryptoslam.io/ipfs/QmVLdeXjCSLL5P1QykWdzdLXDBKWMwWVA45kKgb969mtf1,,,,,,,,Yellow,Hip Hop,Bored Bubblegum,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,0x7f268357a8c2552623316e2562d90e642bb538e5,0xe90eb4a7c653d8799bfab839f393e1b67017987a3a3276140085c99975333409,0xec02d91FD0fE0b4E4dD8F216978e5239B3aB5e9f,0xec02d91FD0fE0b4E4dD8F216978e5239B3aB5e9f,0xBD0f764Ade4ecC77Ab5C9BA64F495dB2DEB8159E,0xBD0f764Ade4ecC77Ab5C9BA64F495dB2DEB8159E,159,534969.9375,https://ipfs.cryptoslam.io/ipfs/QmWvx6uZWQ2BWaJcj3AHxtSFWMuYQC9oxZAb2oAwDaX5J5,3052,,,,,,,,,,Scumbag,,,,,,,,,,,,2022-03-31T15:31:12,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,,https://ipfs.cryptoslam.io/ipfs/QmWvx6uZWQ2BWaJcj3AHxtSFWMuYQC9oxZAb2oAwDaX5J5,,,,,,,,Yellow,Black T,Bored,Brown,Gold Stud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,0x59728544b08ab483533076417fbbb2fd0b17ce3a,0xb2a166890351836d06985b8d5596225344ccafd73f573702e502e5848b4bbf4a,0xBD0f764Ade4ecC77Ab5C9BA64F495dB2DEB8159E,0xBD0f764Ade4ecC77Ab5C9BA64F495dB2DEB8159E,0x0401343c50FF963A7b02b20B31fA9B0B159354D4,0x0401343c50FF963A7b02b20B31fA9B0B159354D4,162.054000854492,531934.375,https://ipfs.cryptoslam.io/ipfs/QmeyY81DRaSpMfCJz9fqVKJXsoLx4sLXPJmq8TsxVXfgwb,6901,,,,,,,,,,Bored,,,,,,,,,,,,2022-04-01T11:00:03,WETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/looksrare.png,LooksRare,,,,,https://ipfs.cryptoslam.io/ipfs/QmeyY81DRaSpMfCJz9fqVKJXsoLx4sLXPJmq8TsxVXfgwb,,,,,,,,Aquamarine,Tuxedo Tee,Bored,White,Silver Hoop,Bayc Hat Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x7d0d664133ff76b61b8dbac2615c09bb746697e156ac6757c88efc94562dd0b8,0x5c407C4ffFfA7fb1D872c8553b84B5F03DB79c86,0x5c407C4ffFfA7fb1D872c8553b84B5F03DB79c86,0x1f41d8A4B245DccbF3686257af4B93177d139afF,0x1f41d8A4B245DccbF3686257af4B93177d139afF,169,520626.53125,https://live---metadata-5covpqijaa-uc.a.run.app/images/5079,5079,,,,,,,,,,,,,,,,,,,,,,2022-04-21T17:34:11,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,,,,#5079,https://live---metadata-5covpqijaa-uc.a.run.app/images/5079,Jade Green,Jade,Legendary Guardian,orig:4393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0x7f268357a8c2552623316e2562d90e642bb538e5,0x642945de8bfec49cbe77aad35aa7bd9fba67e58acac105f22148edede23081e1,0x1c66f8A8fa9D34D26b6767cca81E4f0fb8F0692f,0x1c66f8A8fa9D34D26b6767cca81E4f0fb8F0692f,0xeD5fEb1ED6c3032E5dC31CC0700fB1B4be831a20,0xeD5fEb1ED6c3032E5dC31CC0700fB1B4be831a20,150,517397.5625,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/1334.png,1334,,,,,,Spirit Ponytail,,,closed,,,Clear Glasses,,,,,,,,,,2022-04-01T22:37:20,ETH,https://cryptoslam-token-images.s3.amazonaws.com/icons/opensea-logo.png,OpenSea,Spirit,,,Azuki #1334,https://ipfs.cryptoslam.io/ipfs/QmYDvPAXtiJg7s8JdRBSLWdgSphQdac8j1YuQNNxcGE1hg/1334.png,,,,,Daydreaming,,,Dark Blue,,,,,,,,,Black Ninja Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
